dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
ETTh1,HULL,12864,13056,0.959037641821233,0.2237634618738912,0.061956644,0.022218943,0.013907075,0.025830626
ETTh1,OT,13056,13824,0.9426761864127728,0.1436291034175758,1.370722,1.5458965,0.97205853,1.94456
ETTh1,HULL,12288,12480,0.935269074657346,0.2673239575812737,0.016197681,0.021734,0.0014126301,0.006948948
ETTh1,OT,12032,12352,0.9298092508129354,-0.0485925852744507,1.1771889,0.2100048,1.3991814,0.011987686
ETTh1,MULL,12864,13056,0.922860945154761,0.2361467657994069,0.04305291,0.053873897,0.00997448,0.020795465
ETTh1,MULL,12160,12544,0.9220085746625858,0.2031108849218866,0.16290188,0.1896267,0.17314982,0.17937875
ETTh1,MUFL,12352,14336,0.9180700492251204,0.2360249742747449,0.70489573,0.64100635,0.46681523,0.40292585
ETTh1,MULL,11968,14336,0.9153408514350512,-0.0364875687835225,1.2648847,0.5581894,1.463078,0.35999608
ETTh1,LULL,11904,13248,0.913440683597972,0.0948054579289701,0.32636476,0.07890749,0.31365108,0.09162116
ETTh1,HUFL,12352,14336,0.9102818593969182,0.1994834764370003,0.67574036,0.6579683,0.48260033,0.46482825
ETTh1,MULL,12352,13312,0.9062201900764724,0.2187420809590237,0.23923635,0.014751673,0.12110877,0.13287926
ETTh1,LULL,12288,12672,0.9019374196701532,0.2885559988525516,0.3071506,0.3211677,0.3681383,0.26018
ETTh1,LULL,11840,13760,0.8952147485611228,0.124829749116463,0.45038748,0.5306163,0.6411669,0.33983684
ETTh1,MULL,12032,13184,0.8935518450834815,0.2910647830771676,0.0012664795,0.17519498,0.06053281,0.11339569
ETTh1,HULL,11968,14336,0.8861122018558761,-0.0938538112760696,1.1641824,0.039548397,1.5375016,0.41286755
ETTh1,HULL,12160,12544,0.8790715318912513,0.2311966607821612,0.11411953,0.11996555,0.08126402,0.15282106
ETTh1,MUFL,12160,12544,0.8770018297996932,0.240749934110751,0.6285796,0.43885398,0.57312274,0.49431086
ETTh1,OT,12288,12480,0.8766234930449524,0.2332626004910761,0.31409168,0.36365366,0.32256174,0.3551836
ETTh1,MULL,12288,12672,0.8648718696997232,0.1725654273508581,0.10185242,0.08783507,0.12326193,0.06642556
ETTh1,OT,12096,12672,0.8625317445527627,-0.0279755504999184,0.093532085,0.15012932,0.13644981,0.07985258
ETTh1,OT,12224,12800,0.8577614901673843,0.2579300518785212,0.82958746,0.64045143,0.9355869,0.53445196
ETTh1,OT,11968,12544,0.8551246580790225,0.0818084157555757,0.5337634,1.0269752,0.71162033,0.84911823
ETTh1,LULL,12608,13184,0.8463099216887117,0.1140305595649016,0.33189344,0.28400135,0.462152,0.15374279
ETTh1,HULL,12992,13184,0.8454247963577539,0.2661429973489239,0.041810513,0.018475533,0.005027771,0.018307209
ETTh1,LULL,14016,14208,0.8436219084189474,0.2849792557425824,0.005428314,0.050755024,0.1450715,0.08888817
ETTh1,OT,12736,13248,0.841230861862274,-0.1100245349339903,0.3441658,0.5540223,0.034921646,0.24477816
ETTh1,OT,13888,14080,0.8354409247624276,0.1882062733236474,0.9071045,0.11456585,0.6653285,0.35634184
ETTh1,OT,13568,13952,0.8352001586703125,0.1345604217009568,0.08894873,0.37419176,0.12903929,0.5921798
ETTh1,HULL,12352,13312,0.8210959019093999,0.153530959312678,0.1783526,0.044079542,0.10709357,0.115338564
ETTh1,OT,11520,13440,0.8176186243204544,0.0324999560249745,0.448812,0.6429663,0.43509102,0.65668726
ETTh1,LULL,12800,12992,0.8089419486479401,0.2378306668822753,0.07901549,0.0017194748,0.09009409,0.009359121
ETTh1,HUFL,12928,13760,0.8024935553509251,0.1457515385949888,1.2609302,0.1918323,0.9438976,0.5088649
ETTh1,LULL,13376,13888,0.8018398259145865,0.0488078196567237,0.51729155,0.5608473,0.6407552,0.43738365
ETTh1,HULL,12672,14272,0.8013398478403396,-0.2103680303317577,1.3758147,0.18618178,0.8634875,0.3261454
ETTm1,MUFL,53760,56832,0.997881869715726,0.2491521926379818,0.3071227,0.26099586,0.27904654,0.28907204
ETTm1,HUFL,50688,51456,0.9976276154614444,0.2849497298508141,0.29677796,0.14162517,0.13933945,0.29906368
ETTm1,HUFL,53760,56832,0.9972961148768472,0.2371018588555365,0.31539774,0.18956375,0.1945982,0.3103633
ETTm1,MUFL,46656,48192,0.9968502593091184,0.2802718798484189,0.014746666,0.18261766,0.011662483,0.15620852
ETTm1,MUFL,50112,50688,0.9967659526808046,0.2446130508238951,0.07172513,0.27679896,0.10852599,0.2399981
ETTm1,HUFL,46080,46464,0.9966370084109912,0.0828368648517977,0.10674715,0.08322096,0.039340496,0.015814304
ETTm1,HUFL,46656,47616,0.9965244564825696,0.2631839992521018,0.09843683,0.0958128,0.020495892,0.17375374
ETTm1,MUFL,46080,46464,0.9964211953648824,0.0761324753844444,0.079695225,0.1386261,0.024157047,0.034773827
ETTm1,HUFL,52032,55872,0.9958421143714522,0.1139010516245526,0.3090353,0.36275482,0.19413662,0.4776535
ETTm1,MUFL,54144,56064,0.9958258009192322,0.1705840453419176,0.08451009,0.14461184,0.036677837,0.096779585
ETTm1,HUFL,47936,50624,0.9956002541428426,0.0431249601105824,0.28486347,0.5799737,0.5135565,0.3512807
ETTm1,MUFL,52032,55872,0.9954341439707748,0.111125771873221,0.376266,0.43443298,0.27612734,0.53457165
