dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
ETTh1,HULL,12864,13056,0.959037641821233,0.2237634618738912,0.09688759,0.042369604,0.002742529,0.051775455
ETTh1,OT,13056,13824,0.9426761864127728,0.1436291034175758,1.0114515,1.7489395,1.2422612,1.5181298
ETTh1,HULL,12288,12480,0.935269074657346,0.2673239575812737,0.013810873,0.01373744,0.014474392,0.014400959
ETTh1,OT,12032,12352,0.9298092508129354,-0.0485925852744507,1.1445079,0.2798357,1.212348,0.2119956
ETTh1,MULL,12864,13056,0.922860945154761,0.2361467657994069,0.101239204,0.11685479,0.042693377,0.027077794
ETTh1,MULL,12160,12544,0.9220085746625858,0.2031108849218866,0.17707634,0.18824339,0.1719284,0.19339132
ETTh1,MUFL,12352,14336,0.9180700492251204,0.2360249742747449,0.83658826,0.80903065,0.2630514,0.23549378
ETTh1,MULL,11968,14336,0.9153408514350512,-0.0364875687835225,1.3646076,0.52666974,1.3924274,0.49884987
ETTh1,LULL,11904,13248,0.913440683597972,0.0948054579289701,0.36404586,0.1368928,0.36786819,0.13307047
ETTh1,HUFL,12352,14336,0.9102818593969182,0.1994834764370003,0.7990924,0.8136313,0.30080378,0.31534266
ETTh1,MULL,12352,13312,0.9062201900764724,0.2187420809590237,0.27495933,0.0075006485,0.09148526,0.17597342
ETTh1,LULL,12288,12672,0.9019374196701532,0.2885559988525516,0.3034191,0.28920388,0.33558488,0.25703812
ETTh1,LULL,11840,13760,0.8952147485611228,0.124829749116463,0.58422875,0.36251402,0.5202875,0.42645526
ETTh1,MULL,12032,13184,0.8935518450834815,0.2910647830771676,0.003921747,0.18313241,0.082093954,0.09711671
ETTh1,HULL,11968,14336,0.8861122018558761,-0.0938538112760696,1.2843788,0.10410857,1.4582558,0.27798557
ETTh1,HULL,12160,12544,0.8790715318912513,0.2311966607821612,0.103131056,0.12539887,0.0825243,0.14600563
ETTh1,MUFL,12160,12544,0.8770018297996932,0.240749934110751,0.6845012,0.3924135,0.53940177,0.5375129
ETTh1,OT,12288,12480,0.8766234930449524,0.2332626004910761,0.34435892,0.33364534,0.28532076,0.3926835
ETTh1,MULL,12288,12672,0.8648718696997232,0.1725654273508581,0.107036114,0.09058905,0.12614894,0.07147622
ETTh1,OT,12096,12672,0.8625317445527627,-0.0279755504999184,0.085831165,0.05841589,0.046320915,0.07373619
ETTh1,OT,12224,12800,0.8577614901673843,0.2579300518785212,0.8452101,0.6654811,1.0198817,0.49080944
ETTh1,OT,11968,12544,0.8551246580790225,0.0818084157555757,0.6067169,0.9399848,0.607425,0.9392767
ETTh1,LULL,12608,13184,0.8463099216887117,0.1140305595649016,0.35355568,0.22994137,0.3964362,0.18706083
ETTh1,HULL,12992,13184,0.8454247963577539,0.2661429973489239,0.010596514,0.003765583,0.01749754,0.0031354427
ETTh1,LULL,14016,14208,0.8436219084189474,0.2849792557425824,0.018306255,0.03028202,0.13362408,0.0850358
ETTh1,OT,12736,13248,0.841230861862274,-0.1100245349339903,0.21716833,0.29385948,0.3068099,0.23011875
ETTh1,OT,13888,14080,0.8354409247624276,0.1882062733236474,0.7204199,0.26457357,0.86940813,0.11558533
ETTh1,OT,13568,13952,0.8352001586703125,0.1345604217009568,0.010488987,0.45607233,0.0567379,0.38884544
ETTh1,HULL,12352,13312,0.8210959019093999,0.153530959312678,0.20118451,0.021972418,0.07934523,0.1438117
ETTh1,OT,11520,13440,0.8176186243204544,0.0324999560249745,0.29007864,0.87029266,0.7297926,0.4305787
ETTh1,LULL,12800,12992,0.8089419486479401,0.2378306668822753,0.039084673,0.020094156,0.07952738,0.06053686
ETTh1,HUFL,12928,13760,0.8024935553509251,0.1457515385949888,1.2759197,0.097809315,0.797842,0.57588696
ETTh1,LULL,13376,13888,0.8018398259145865,0.0488078196567237,0.51583886,0.54497385,0.6016934,0.45911932
ETTh1,HULL,12672,14272,0.8013398478403396,-0.2103680303317577,1.4473042,0.28754282,0.8248756,0.33488584
